instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,58.8,41.5,2022-10-15T00:00:00.000Z
      Ziv Hospital            ,62.5,62,2022-10-15T00:00:00.000Z
Hacarmel Hospital             ,70.8,60.7,2022-10-15T00:00:00.000Z
Soroka Medical Center         ,70.5,72.5,2022-10-15T00:00:00.000Z
Woolfson Medical Center       ,77,63.1,2022-10-15T00:00:00.000Z
Assaf Harofeh Medical Center  ,78,57.5,2022-10-15T00:00:00.000Z
Meir Hospital                 ,82.5,85.1,2022-10-15T00:00:00.000Z
Laniado                       ,84.6,80.2,2022-10-15T00:00:00.000Z
Poriah Hospital               ,84.6,65.1,2022-10-15T00:00:00.000Z
Hillel Yaffeh Medical Center  ,87.7,68.9,2022-10-15T00:00:00.000Z
Rambam                        ,87.4,73.7,2022-10-15T00:00:00.000Z
Haemek Valley Center Hospital ,90.3,71.5,2022-10-15T00:00:00.000Z
Kaplan Hospital               ,91.3,91.2,2022-10-15T00:00:00.000Z
Bnei Ziom Medical Center      ,92.6,73.9,2022-10-15T00:00:00.000Z
Yosephtal Hospital            ,93.8,55.4,2022-10-15T00:00:00.000Z
Shmuel Harofe                 ,94.4,79.2,2022-10-15T00:00:00.000Z
Barzilai Medical Center       ,95.3,71.7,2022-10-15T00:00:00.000Z
Hadassah Ein Kerem            ,100,86.4,2022-10-15T00:00:00.000Z
Rabin K. Beilinson            ,104,80.7,2022-10-15T00:00:00.000Z
Chaim Sheba Medical Center    ,106.7,98.7,2022-10-15T00:00:00.000Z
Nahariya                      ,110.5,79.1,2022-10-15T00:00:00.000Z
