age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,3311,3,6874,1132.8,,753.3,0,0,1,0,,0.1
12-15,2830,558,1486,842.6,1439.6,607.9,2,0,3,0.6,0,1.2
16-19,3650,565,848,903.7,954.3,735,3,0,1,0.7,0,0.9
20-29,7159,988,1632,746.1,643.2,898.7,2,0,2,0.2,0,1.1
30-39,9717,1350,2052,1057.9,1010.9,1527.7,6,1,8,0.7,0.7,6
40-49,9243,870,1579,1033.4,892.5,1520.4,13,4,11,1.5,4.1,10.6
50-59,6380,549,1069,870.6,828.1,1604,32,12,31,4.4,18.1,46.5
60-69,6326,508,1050,971.3,1325.3,1979.2,60,11,45,9.2,28.7,84.8
70-79,4120,254,678,861.9,1161.3,2798.6,82,14,64,17.2,64,264.2
80-89,2253,175,497,1074.4,1199.7,4124.8,67,16,73,32,109.7,605.9
90+,784,52,184,1654.8,751.1,6333.9,22,5,14,46.4,72.2,481.9
