age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,357514,288126,635971,56.2,45.3,466,0.1
16-19,510422,441635,591331,86.3,74.7,183860,31.1
20-29,1096273,979698,1319364,83.1,74.3,602184,45.6
30-39,1050882,963188,1207243,87,79.8,620024,51.4
40-49,989407,919081,1110965,89.1,82.7,671951,60.5
50-59,787031,740622,874608,90,84.7,592558,67.8
60-69,687252,660488,747217,92,88.4,569513,76.2
70-79,475653,464861,526929,90.3,88.2,433389,82.2
80-89,215273,209605,238729,90.2,87.8,189516,79.4
90+,48955,47141,58687,83.4,80.3,41292,70.4
