instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,62.5,40,2022-09-27T00:00:00.000Z
Soroka Medical Center         ,62.4,66.8,2022-09-27T00:00:00.000Z
Woolfson Medical Center       ,68.9,59.7,2022-09-27T00:00:00.000Z
Hillel Yaffeh Medical Center  ,74.7,70.9,2022-09-27T00:00:00.000Z
Meir Hospital                 ,74,77.2,2022-09-27T00:00:00.000Z
Rabin K. Hasharon             ,74.6,54.8,2022-09-27T00:00:00.000Z
Hacarmel Hospital             ,77.4,61.8,2022-09-27T00:00:00.000Z
Barzilai Medical Center       ,79.7,61.8,2022-09-27T00:00:00.000Z
Haemek Valley Center Hospital ,80.6,65.8,2022-09-27T00:00:00.000Z
Bnei Ziom Medical Center      ,83.5,57.7,2022-09-27T00:00:00.000Z
Poriah Hospital               ,85.9,67.3,2022-09-27T00:00:00.000Z
Tel Aviv Medical Center       ,87.7,81.8,2022-09-27T00:00:00.000Z
Assaf Harofeh Medical Center  ,87.6,58.1,2022-09-27T00:00:00.000Z
Laniado                       ,88.5,85.2,2022-09-27T00:00:00.000Z
Chaim Sheba Medical Center    ,90,91.5,2022-09-27T00:00:00.000Z
Hadassah Mount Scopus         ,91.7,70.5,2022-09-27T00:00:00.000Z
Shmuel Harofe                 ,102.8,79.2,2022-09-27T00:00:00.000Z
Hadassah Ein Kerem            ,103.9,77.8,2022-09-27T00:00:00.000Z
      Ziv Hospital            ,103.1,64.3,2022-09-27T00:00:00.000Z
Rambam                        ,106.6,79.9,2022-09-27T00:00:00.000Z
Assuta Ashdod                 ,116.9,84.6,2022-09-27T00:00:00.000Z
,,39.7,2022-09-27T00:00:00.000Z
Kaplan Hospital               ,103.3,93.3,2022-09-27T00:00:00.000Z
Nahariya                      ,117.4,80.7,2022-09-27T00:00:00.000Z
Rabin K. Beilinson            ,121.1,84.5,2022-09-27T00:00:00.000Z
