age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,10749,11,62347,4586.6,,6841.3,0,0,1,0,,0.1
12-15,22463,565,14881,6282,4614.9,6168.2,1,0,3,0.3,0,1.2
16-19,19546,3866,6603,4879.6,6387.8,5765.9,1,0,1,0.2,0,0.9
20-29,40621,10156,11712,4363.2,5822.9,6340.9,5,2,10,0.5,1.1,5.4
30-39,47052,11419,12562,5296.8,7211.3,9253.6,10,2,9,1.1,1.3,6.6
40-49,45711,7208,8998,5228.7,6348.8,8541.5,9,4,20,1,3.5,19
50-59,30748,3614,4824,4262.5,4876.6,7025.9,31,15,37,4.3,20.2,53.9
60-69,23052,1965,3150,3569.3,4656.4,5858.7,73,11,56,11.3,26.1,104.2
70-79,12976,856,1551,2746,3651.7,5598.5,128,31,79,27.1,132.2,285.2
80-89,6070,388,848,2927.9,2526.4,6335.5,157,21,91,75.7,136.7,679.9
90+,1921,103,301,4149.4,1456.7,8078.4,51,8,37,110.2,113.1,993
