age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.7,15.8,0,0,20.48,79.52,0
12-15,65.4,53.8,13.6,0,58.53,39.48,1.99
16-19,89.2,77.8,45,0,69.62,19.89,10.49
20-29,85.5,76.6,53.9,0.3,72.2,14.32,13.49
30-39,88.9,81.6,59,0.8,75.17,11.48,13.35
40-49,90.5,84.3,66.3,1.3,80,9.64,10.36
50-59,91,86.1,72.5,2.2,83.5,7.94,8.56
60-69,92.7,89.6,79.9,27.3,87.08,7.25,5.68
70-79,90.8,89.2,85.6,44.9,90.24,5.29,4.47
80-89,90.8,88.9,83.1,46.9,87.83,5.67,6.5
90+,84.3,81.5,75.5,44.6,81.1,6.52,12.38
