age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,227449,166654,618088,36.8,27,5,0
16-19,453962,398558,583545,77.8,68.3,35,0
20-29,1033143,942141,1300361,79.5,72.5,338,0
30-39,1001664,932861,1197026,83.7,77.9,903,0.1
40-49,952292,892598,1098556,86.7,81.3,3707,0.3
50-59,764595,720288,849966,90,84.7,48530,5.7
60-69,675877,647818,741639,91.1,87.3,339685,45.8
70-79,469924,457547,490784,95.7,93.2,310597,63.3
80-89,212694,206745,225538,94.3,91.7,131877,58.5
90+,48330,46526,51496,93.9,90.3,27576,53.5
