age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1648,1,2608,563,,285.3,0,0,4,0,,0.4
12-15,1106,350,498,338.4,750,202.5,2,0,0,0.6,0,0
16-19,1550,241,356,386.2,392,307.4,2,0,0,0.5,0,0
20-29,3663,399,683,381.3,259.6,378.1,1,0,2,0.1,0,1.1
30-39,5042,582,933,548,437.9,697.1,6,1,7,0.7,0.8,5.2
40-49,4853,438,691,541.9,450.1,669.3,9,5,8,1,5.1,7.7
50-59,3507,224,492,477.8,338.6,748.2,21,4,26,2.9,6,39.5
60-69,3443,193,457,528.3,507.2,862.7,48,9,23,7.4,23.7,43.4
70-79,2323,94,343,484.4,432,1499.7,45,11,36,9.4,50.6,157.4
80-89,1181,77,257,561.3,530.9,2226.5,43,7,36,20.4,48.3,311.9
90+,425,26,101,888.7,376.5,4023.9,13,5,17,27.2,72.4,677.3
