age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,8,46,115,167.6,20.9,12.1,0,0,0,0,0,0
12-15,5,117,38,95.8,36.5,13.4,0,0,0,0,0,0
16-19,12,325,38,337.1,74.4,27.5,0,0,0,0,0,0
20-29,20,827,80,208.5,73.7,48.3,0,1,1,0,0.1,0.6
30-39,19,667,76,152.9,63.2,61.6,0,0,1,0,0,0.8
40-49,26,772,68,155.1,78.2,72.4,0,2,0,0,0.2,0
50-59,33,819,70,136.2,103.5,139.1,0,4,2,0,0.5,4
60-69,140,1245,92,286.1,195.5,168.5,1,10,1,2,1.6,1.8
70-79,274,1396,93,381.8,317.7,1258.6,4,17,3,5.6,3.9,40.6
80+,192,1064,96,458.7,478,697.9,6,33,8,14.3,14.8,58.2
