age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.6,14.8,0,0,19.11,80.89,0
12-15,65.3,53.5,13.2,0,59.26,39.58,1.15
16-19,89.2,77.8,44.8,0,69.34,19.91,10.75
20-29,85.5,76.5,53.8,0.3,71.57,14.37,14.06
30-39,88.9,81.6,58.9,0.8,74.66,11.51,13.82
40-49,90.4,84.3,66.3,1.2,79.75,9.66,10.59
50-59,91,86,72.5,2,83.31,7.98,8.7
60-69,92.7,89.6,79.9,26.4,86.98,7.26,5.76
70-79,90.8,89.2,85.6,43.9,90.13,5.36,4.5
80-89,90.8,88.9,83,45.9,87.73,5.74,6.53
90+,84.3,81.5,75.4,43.6,80.89,6.69,12.43
