age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,23,63,0,10.7,6.6,0,0,0,0,0,0
12-15,1,45,20,29.2,14.4,6.9,0,1,0,0,0.3,0
16-19,6,412,37,190.2,95.3,26,0,0,1,0,0,0.7
20-29,11,576,65,102.4,51.2,40,0,0,0,0,0,0
30-39,18,377,64,106.5,35.8,52.5,0,0,0,0,0,0
40-49,22,398,54,92.8,40.5,59,0,0,1,0,0,1.1
50-59,27,441,61,71.9,56.4,131.3,0,6,1,0,0.8,2.2
60-69,164,778,78,184.9,130.5,141.3,0,9,2,0,1.5,3.6
70-79,350,727,69,255.4,191.5,3878.6,3,23,1,2.2,6.1,56.2
80+,362,675,119,455.6,353.1,1592.6,7,19,6,8.8,9.9,80.3
