age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.16,81.54,18.3
12-15,65.7,54.7,15,0,0.56,47.94,51.49
16-19,89.3,78.3,46,0.2,0.55,24.64,74.82
20-29,85.7,77.2,54.8,0.9,0.83,12.51,86.66
30-39,89.1,82.1,59.8,2.1,1.42,10.24,88.34
40-49,90.6,84.8,67.1,3.6,2.16,8.34,89.5
50-59,91.3,86.6,73.4,7.4,4.34,5.37,90.29
60-69,93.2,90.4,80.9,34.2,11.98,7.46,80.56
70-79,92.1,90.7,87.4,54.8,26.44,0.34,73.22
80+,95.3,93.3,87.6,58.2,28.57,2.69,68.74
