period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,107,194,20.7,37.52
3_Month,5-11,438,854,19.24,37.51
6_Month,5-11,1131,2770,14.13,34.59
1_Year,5-11,5008,39775,1.45,11.49
All,5-11,5403,53772,0.74,7.41
1_Month,12-15,172,84,36.91,18.03
3_Month,12-15,782,370,35.32,16.71
6_Month,12-15,1353,912,24.8,16.72
1_Year,12-15,7218,11135,4.61,7.11
All,12-15,9772,19220,2.8,5.51
1_Month,16-19,723,72,53.01,5.28
3_Month,16-19,2208,273,47.34,5.85
6_Month,16-19,3235,538,37.63,6.26
1_Year,16-19,12244,5020,9.19,3.77
All,16-19,17187,11497,5.49,3.67
1_Month,20-29,1694,141,51.36,4.28
3_Month,20-29,5388,483,46.43,4.16
6_Month,20-29,8663,1167,34.78,4.69
1_Year,20-29,32489,10596,10.66,3.48
All,20-29,43263,22190,6.49,3.33
1_Month,30-39,1491,169,46.39,5.26
3_Month,30-39,5137,615,42.19,5.05
6_Month,30-39,8895,1482,31.18,5.19
1_Year,30-39,33684,12055,9.31,3.33
All,30-39,42101,20607,6.24,3.05
1_Month,40-49,1781,141,50.37,3.99
3_Month,40-49,6240,494,45.74,3.62
6_Month,40-49,9912,1218,32.57,4
1_Year,40-49,31926,8933,9.28,2.6
All,40-49,39583,15206,6.47,2.48
1_Month,50-59,1425,105,40.73,3
3_Month,50-59,5069,452,36.45,3.25
6_Month,50-59,7953,882,25.62,2.84
1_Year,50-59,22347,5182,8.56,1.99
All,50-59,26922,8441,6.18,1.94
1_Month,60-69,1087,75,29.06,2
3_Month,60-69,4080,278,26.93,1.83
6_Month,60-69,6518,550,18.32,1.55
1_Year,60-69,15532,2795,7.19,1.29
All,60-69,18324,4473,5.51,1.35
1_Month,70-79,795,43,22.25,1.2
3_Month,70-79,2801,147,18.88,0.99
6_Month,70-79,4568,279,12.92,0.79
1_Year,70-79,9099,1048,5.82,0.67
All,70-79,10276,1519,4.75,0.7
1_Month,80+,575,54,19.71,1.85
3_Month,80+,1930,173,18.04,1.62
6_Month,80+,3255,304,14.1,1.32
1_Year,80+,5985,764,7.18,0.92
All,80+,6731,1012,5.7,0.86
