age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.32,81.26,18.42
12-15,65.7,54.7,15,0,0.78,47.37,51.86
16-19,89.3,78.3,46,0.2,0.63,24.33,75.04
20-29,85.7,77.2,54.8,0.9,0.87,12.59,86.55
30-39,89,82.1,59.8,2.1,1.43,10.26,88.31
40-49,90.6,84.8,67.1,3.6,2.17,8.42,89.41
50-59,91.3,86.6,73.4,7.4,4.26,5.51,90.23
60-69,93.2,90.4,80.9,34.2,11.44,7.29,81.26
70-79,92.1,90.7,87.4,54.8,24.83,0.58,74.59
80+,95.3,93.3,87.6,58.2,26.88,4.53,68.59
