period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,215,611,11.53,32.78
3_Month,5-11,2678,9745,8.67,31.55
6_Month,5-11,3433,15081,4.32,18.96
1_Year,5-11,4710,51507,0.82,9.01
All,5-11,4710,52337,0.65,7.25
1_Month,12-15,159,173,16.56,18.02
3_Month,12-15,1736,2321,11.83,15.81
6_Month,12-15,2575,3767,6.63,9.7
1_Year,12-15,8675,17793,3.35,6.88
All,12-15,8697,18615,2.52,5.39
1_Month,16-19,355,94,25.05,6.63
3_Month,16-19,3302,1082,19.9,6.52
6_Month,16-19,4574,1696,11.98,4.44
1_Year,16-19,14498,10404,6.86,4.92
All,16-19,14644,11145,4.77,3.63
1_Month,20-29,1248,249,23.74,4.74
3_Month,20-29,10167,2773,19.46,5.31
6_Month,20-29,14334,4202,12.21,3.58
1_Year,20-29,36691,20204,7.93,4.37
All,20-29,36968,21554,5.68,3.31
1_Month,30-39,1392,355,22.29,5.68
3_Month,30-39,11582,3523,17.93,5.45
6_Month,30-39,15799,5106,11.2,3.62
1_Year,30-39,35625,18868,7,3.71
All,30-39,35861,19781,5.45,3
1_Month,40-49,1361,276,21.12,4.28
3_Month,40-49,10908,2686,16.76,4.13
6_Month,40-49,14487,3868,10.45,2.79
1_Year,40-49,31870,13911,6.84,2.99
All,40-49,32110,14497,5.41,2.44
1_Month,50-59,1026,165,15.88,2.55
3_Month,50-59,7728,1610,12.51,2.61
6_Month,50-59,10189,2324,8.43,1.92
1_Year,50-59,20680,7550,6.33,2.31
All,50-59,20837,7862,5,1.89
1_Month,60-69,857,130,11.25,1.71
3_Month,60-69,5851,908,8.7,1.35
6_Month,60-69,7473,1285,6.32,1.09
1_Year,60-69,13190,3973,5.24,1.58
All,60-69,13311,4125,4.29,1.33
1_Month,70-79,626,57,8.32,0.76
3_Month,70-79,3683,388,6.11,0.64
6_Month,70-79,4404,503,4.59,0.52
1_Year,70-79,6665,1259,4.07,0.77
All,70-79,6726,1332,3.47,0.69
1_Month,80+,551,54,11.3,1.11
3_Month,80+,2546,266,7.73,0.81
6_Month,80+,2971,342,6.07,0.7
1_Year,80+,4307,744,5.19,0.9
All,80+,4372,802,4.23,0.78
