instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,64,68.9,2022-07-04T00:00:00.000Z
Hacarmel Hospital             ,66,78.7,2022-07-04T00:00:00.000Z
Soroka Medical Center         ,73.3,85.8,2022-07-04T00:00:00.000Z
Poriah Hospital               ,76.9,78.6,2022-07-04T00:00:00.000Z
Hadassah Mount Scopus         ,80.6,68.8,2022-07-04T00:00:00.000Z
Meir Hospital                 ,80,90.5,2022-07-04T00:00:00.000Z
Shaare Zedek                  ,80.7,104.9,2022-07-04T00:00:00.000Z
Haemek Valley Center Hospital ,81.9,79.8,2022-07-04T00:00:00.000Z
Woolfson Medical Center       ,82.8,75.7,2022-07-04T00:00:00.000Z
Bnei Ziom Medical Center      ,83.5,85,2022-07-04T00:00:00.000Z
Laniado                       ,83.3,86.9,2022-07-04T00:00:00.000Z
Rambam                        ,86.9,89.1,2022-07-04T00:00:00.000Z
Barzilai Medical Center       ,89.6,87.3,2022-07-04T00:00:00.000Z
Kaplan Hospital               ,94.7,94.9,2022-07-04T00:00:00.000Z
Assuta Ashdod                 ,101.7,102,2022-07-04T00:00:00.000Z
Assaf Harofeh Medical Center  ,101.5,73.3,2022-07-04T00:00:00.000Z
Hadassah Ein Kerem            ,102.9,96.4,2022-07-04T00:00:00.000Z
Shmuel Harofe                 ,102.8,83.9,2022-07-04T00:00:00.000Z
      Ziv Hospital            ,104.7,77.2,2022-07-04T00:00:00.000Z
Nahariya                      ,104.2,95.2,2022-07-04T00:00:00.000Z
Chaim Sheba Medical Center    ,113,107.8,2022-07-04T00:00:00.000Z
Hillel Yaffeh Medical Center  ,115.8,96.5,2022-07-04T00:00:00.000Z
Rabin K. Beilinson            ,119.8,98.7,2022-07-04T00:00:00.000Z
Yosephtal Hospital            ,125,56.9,2022-07-04T00:00:00.000Z
