age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,798,306,2507,375.6,482.6,269.8,0,0,1,0,0,0.1
12-15,382,539,497,205.9,316.8,187.4,0,0,0,0,0,0
16-19,183,1330,261,111,462.8,199.9,0,1,0,0,0.3,0
20-29,333,4433,741,100.8,555,422.5,0,0,2,0,0,1.1
30-39,613,5283,926,179.4,725.7,728.1,0,4,1,0,0.5,0.8
40-49,722,5396,699,221.8,798,696.3,1,9,0,0.3,1.3,0
50-59,1108,4923,530,435.9,888.8,884.4,2,11,5,0.8,2,8.3
60-69,5162,4631,571,1436.2,1429.6,983.8,20,14,5,5.6,4.3,8.6
70-79,6929,2686,425,2100.5,1620.9,1812.8,40,40,9,12.1,24.1,38.4
80+,4290,1267,400,2411.3,1525.1,2285.6,84,50,20,47.2,60.2,114.3
