age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,315373,222835,635971,49.6,35,203,0
16-19,485884,416532,591331,82.2,70.4,85215,14.4
20-29,1056977,956457,1319364,80.1,72.5,296407,22.5
30-39,1021905,944529,1207243,84.6,78.2,362888,30.1
40-49,968093,903739,1110965,87.1,81.3,478402,43.1
50-59,774327,729769,874608,88.5,83.4,481074,55
60-69,681159,653306,747217,91.2,87.4,515487,69
70-79,472952,460720,526929,89.8,87.4,408221,77.5
80-89,214052,207977,238729,89.7,87.1,178197,74.6
90+,48664,46780,58687,82.9,79.7,38181,65.1
