age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,331576,255496,635971,52.1,40.2,291,0
16-19,492699,426923,591331,83.3,72.2,117205,19.8
20-29,1064668,963164,1319364,80.7,73,394571,29.9
30-39,1027802,950408,1207243,85.1,78.7,445282,36.9
40-49,972541,908550,1110965,87.5,81.8,544071,49
50-59,776850,733153,874608,88.8,83.8,517322,59.1
60-69,682368,655680,747217,91.3,87.7,532826,71.3
70-79,473555,462037,526929,89.9,87.7,416638,79.1
80-89,214325,208498,238729,89.8,87.3,181875,76.2
90+,48722,46892,58687,83,79.9,39125,66.7
