instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. HaSharon             ,54.4,63.5,2022-06-02T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,62.5,50.8,2022-06-02T00:00:00.000Z
Hadassah Mount Scopus         ,63.9,75.3,2022-06-02T00:00:00.000Z
SOROKA MEDICAL CENTER         ,69.8,80.3,2022-06-02T00:00:00.000Z
HACARMEL HOSPITAL             ,72.6,80.8,2022-06-02T00:00:00.000Z
MEIR HOSPITAL                 ,75,83,2022-06-02T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,80.3,76,2022-06-02T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,85.4,79.3,2022-06-02T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,85.3,69.2,2022-06-02T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,88.4,80.4,2022-06-02T00:00:00.000Z
KAPLAN HOSPITAL               ,89.3,91.2,2022-06-02T00:00:00.000Z
TEL AVIV MEDICAL CENTER       ,91.3,113.7,2022-06-02T00:00:00.000Z
Laniado                       ,91,84.7,2022-06-02T00:00:00.000Z
PORIAH HOSPITAL               ,92.3,83.1,2022-06-02T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,100.7,92.4,2022-06-02T00:00:00.000Z
      ZIV HOSPITAL            ,100,74.4,2022-06-02T00:00:00.000Z
Rambam                        ,100,90.7,2022-06-02T00:00:00.000Z
NAHARIYA                      ,107.9,92.9,2022-06-02T00:00:00.000Z
Rabin K. Beilinson            ,115,91.8,2022-06-02T00:00:00.000Z
Assuta Ashdod                 ,118.6,116.7,2022-06-02T00:00:00.000Z
Hadassah Ein Kerem            ,119.4,96.7,2022-06-02T00:00:00.000Z
