age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.38,81.1,18.52
12-15,65.7,54.7,15,0,0.83,47,52.16
16-19,89.3,78.3,46,0.2,0.63,24.13,75.24
20-29,85.7,77.2,54.8,0.9,0.82,12.66,86.52
30-39,89,82.1,59.8,2.1,1.28,10.3,88.42
40-49,90.6,84.8,67.1,3.6,1.94,8.47,89.59
50-59,91.3,86.6,73.4,7.4,3.76,5.63,90.6
60-69,93.2,90.4,80.9,34.2,9.79,7.32,82.89
70-79,92.1,90.7,87.4,54.8,21.14,0.93,77.93
80+,95.3,93.3,87.6,58.2,23.29,4.64,72.07
