age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,4,38,100,89,17.4,10.5,0,0,0,0,0,0
12-15,5,101,43,98.9,31.8,15,0,0,0,0,0,0
16-19,6,464,64,164.5,106.7,45.9,0,0,0,0,0,0
20-29,16,865,124,151.1,77,75.5,0,0,1,0,0,0.6
30-39,37,712,107,243,67.6,87.2,1,2,1,6.6,0.2,0.8
40-49,37,864,89,173.7,87.8,95.7,0,2,0,0,0.2,0
50-59,51,974,77,156.5,124.2,157.8,0,5,0,0,0.6,0
60-69,228,1559,119,314.7,254.1,219.6,2,16,5,2.8,2.6,9.2
70-79,436,1544,94,397.7,382.2,1947.4,7,34,5,6.4,8.4,103.6
80+,486,1223,156,750.2,610,1208.9,7,50,14,10.8,24.9,108.5
