age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,145910,34301,31,11.8,2.8,0,0.15,99.85,0
12-15,389465,313613,10260,61.2,49.3,1.6,58.64,41.34,0.02
16-19,520646,453165,219410,88,76.6,37.1,65.44,20.71,13.85
20-29,1116730,998080,672720,84.6,75.6,51,67.73,15.37,16.9
30-39,1064612,976019,678416,88.2,80.8,56.2,71.02,12.34,16.64
40-49,998711,928578,709911,89.9,83.6,63.9,76.92,10.31,12.77
50-59,792621,746973,615438,90.6,85.4,70.4,81.13,8.66,10.21
60-69,690535,664614,582201,92.4,88.9,77.9,85.89,7.52,6.59
70-79,477369,467141,440627,90.6,88.7,83.6,88.75,6.2,5.05
80-89,216000,210680,192787,90.5,88.3,80.8,85.68,7.17,7.14
90+,49181,47403,42288,83.8,80.8,72.1,76.39,10.79,12.82
