period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,220,1002,4.35,19.81
3_Month,5-11,723,4854,1.7,11.42
6_Month,5-11,2074,40974,0.45,8.92
1_Year,5-11,2074,42514,0.35,7.21
All,5-11,2074,42745,0.3,6.18
1_Month,12-15,190,271,5.96,8.51
3_Month,12-15,812,1351,3.72,6.2
6_Month,12-15,6952,15013,3.13,6.77
1_Year,12-15,7016,16069,2.67,6.11
All,12-15,7016,16324,2.12,4.93
1_Month,16-19,240,80,10.41,3.47
3_Month,16-19,1208,581,6.21,2.99
6_Month,16-19,11197,8805,6.21,4.89
1_Year,16-19,11386,9799,5.46,4.7
All,16-19,11397,10080,3.91,3.46
1_Month,20-29,670,202,9.28,2.8
3_Month,20-29,3979,1375,6.55,2.26
6_Month,20-29,26521,16242,7.02,4.3
1_Year,20-29,26965,18373,6.04,4.12
All,20-29,26996,18829,4.49,3.13
1_Month,30-39,701,276,7.72,3.04
3_Month,30-39,4023,1528,5.62,2.13
6_Month,30-39,24034,14464,5.86,3.53
1_Year,30-39,24415,16006,5.08,3.33
All,30-39,24468,16326,4.11,2.74
1_Month,40-49,704,200,7.34,2.09
3_Month,40-49,3503,1170,5.06,1.69
6_Month,40-49,21019,10690,5.56,2.83
1_Year,40-49,21341,11628,4.94,2.69
All,40-49,21401,11864,4.03,2.24
1_Month,50-59,515,95,5.82,1.07
3_Month,50-59,2409,701,4.26,1.24
6_Month,50-59,13039,5729,5.1,2.24
1_Year,50-59,13212,6118,4.63,2.14
All,50-59,13258,6282,3.71,1.76
1_Month,60-69,390,56,4.11,0.59
3_Month,60-69,1635,358,3.25,0.71
6_Month,60-69,7429,3003,4.11,1.66
1_Year,60-69,7545,3143,3.78,1.58
All,60-69,7578,3227,3.08,1.31
1_Month,70-79,225,19,2.7,0.23
3_Month,70-79,767,117,2.13,0.32
6_Month,70-79,3033,854,2.95,0.83
1_Year,70-79,3100,897,2.74,0.79
All,70-79,3120,946,2.29,0.69
1_Month,80+,114,19,3.2,0.53
3_Month,80+,431,77,2.68,0.48
6_Month,80+,1785,471,3.64,0.96
1_Year,80+,1829,494,3.32,0.9
All,80+,1859,539,2.6,0.75
