age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,292904,140735,48,23.7,11.4,0,13.25,86.74,0
12-15,412173,333572,69387,64.8,52.5,10.9,59.59,40.1,0.31
16-19,526106,458296,255973,89,77.5,43.3,68.13,20.09,11.79
20-29,1125943,1007373,703202,85.3,76.4,53.3,70.13,14.66,15.22
30-39,1071603,983091,705789,88.8,81.4,58.5,73.2,11.73,15.07
40-49,1003718,934475,731666,90.3,84.1,65.9,78.59,9.82,11.59
50-59,795460,751252,630538,91,85.9,72.1,82.47,8.17,9.36
60-69,692273,668396,594252,92.6,89.5,79.5,86.55,7.33,6.12
70-79,478299,469552,449177,90.8,89.1,85.2,89.63,5.69,4.69
80-89,216550,211823,197344,90.7,88.7,82.7,87.24,6.03,6.73
90+,49413,47752,43998,84.2,81.4,75,79.96,7.42,12.62
