age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2156,1,3862,736.3,,422.8,0,0,2,0,,0.2
12-15,1660,391,793,500.9,917,323.3,1,0,0,0.3,0,0
16-19,2278,340,472,565.8,564.5,407.8,1,0,0,0.2,0,0
20-29,4977,616,948,518.2,401,524,0,0,2,0,0,1.1
30-39,6420,781,1228,698.1,587.3,916.1,5,1,6,0.5,0.8,4.5
40-49,5981,552,923,668.1,567.3,892.6,12,5,12,1.3,5.1,11.6
50-59,4345,337,661,592.4,509,999.5,23,5,23,3.1,7.6,34.8
60-69,4565,283,650,700.6,741.9,1226,56,10,26,8.6,26.2,49
70-79,3017,168,476,630,769.9,2027.7,46,15,47,9.6,68.7,200.2
80-89,1662,133,391,790.8,913.8,3346.5,48,9,43,22.8,61.8,368
90+,571,40,151,1198.5,578.5,5672.4,14,5,15,29.4,72.3,563.5
