instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,68.8,43.1,2022-10-02T00:00:00.000Z
Woolfson Medical Center       ,77.9,78.5,2022-10-02T00:00:00.000Z
Hadassah Mount Scopus         ,80.6,70.8,2022-10-02T00:00:00.000Z
Soroka Medical Center         ,80.6,82.4,2022-10-02T00:00:00.000Z
Hacarmel Hospital             ,84,76.3,2022-10-02T00:00:00.000Z
Rabin K. Hasharon             ,85.1,75.5,2022-10-02T00:00:00.000Z
Barzilai Medical Center       ,87.5,77.5,2022-10-02T00:00:00.000Z
      Ziv Hospital            ,87.5,72.3,2022-10-02T00:00:00.000Z
Meir Hospital                 ,89.5,86.9,2022-10-02T00:00:00.000Z
Assaf Harofeh Medical Center  ,91.5,74.2,2022-10-02T00:00:00.000Z
Bnei Ziom Medical Center      ,92.6,82,2022-10-02T00:00:00.000Z
Poriah Hospital               ,92.3,79.4,2022-10-02T00:00:00.000Z
Rambam                        ,97,88.7,2022-10-02T00:00:00.000Z
Haemek Valley Center Hospital ,99.4,77.5,2022-10-02T00:00:00.000Z
Laniado                       ,101.3,109.7,2022-10-02T00:00:00.000Z
Shmuel Harofe                 ,105.6,81.8,2022-10-02T00:00:00.000Z
Kaplan Hospital               ,106.7,94,2022-10-02T00:00:00.000Z
Hillel Yaffeh Medical Center  ,113,85.2,2022-10-02T00:00:00.000Z
Nahariya                      ,113.2,88,2022-10-02T00:00:00.000Z
Assuta Ashdod                 ,125.4,109.2,2022-10-02T00:00:00.000Z
Hadassah Ein Kerem            ,134,95,2022-10-02T00:00:00.000Z
,,38.1,2022-10-02T00:00:00.000Z
Chaim Sheba Medical Center    ,115.9,102.7,2022-10-02T00:00:00.000Z
Rabin K. Beilinson            ,138.3,101.7,2022-10-02T00:00:00.000Z
