age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,295539,146633,48,23.9,11.8,0,13.85,86.15,0
12-15,412846,334575,73184,64.9,52.6,11.5,59.62,40.03,0.35
16-19,526266,458507,257986,89,77.5,43.6,68.31,20.08,11.61
20-29,1126180,1007685,704287,85.4,76.4,53.4,70.34,14.62,15.05
30-39,1071829,983375,706896,88.8,81.5,58.6,73.4,11.7,14.9
40-49,1003869,934693,732515,90.4,84.1,65.9,78.74,9.8,11.46
50-59,795540,751445,631134,91,85.9,72.2,82.58,8.15,9.28
60-69,692321,668524,594623,92.7,89.5,79.6,86.6,7.32,6.08
70-79,478330,469629,449394,90.8,89.1,85.3,89.69,5.64,4.67
80-89,216566,211858,197453,90.7,88.7,82.7,87.32,5.97,6.71
90+,49417,47765,44041,84.2,81.4,75,80.1,7.27,12.63
