age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2137,0,0,184.8,0,0,0,0,0,0
12-15,83,0,354,23.4,0,140.3,0,0,0,0,0,0
16-19,33,40,102,9,47,85.2,0,0,0,0,0,0
20-29,87,128,217,10.2,56.3,107.2,0,1,6,0,0.4,3
30-39,173,161,206,21,78.5,138.5,1,0,7,0.1,0,4.7
40-49,175,117,170,21.1,80.5,148,0,1,18,0,0.7,15.7
50-59,80,30,97,11.5,32.8,126.1,1,1,22,0.1,1.1,28.6
60-69,58,26,70,9.2,51.6,123.3,2,4,16,0.3,7.9,28.2
70-79,38,13,41,8.2,47.8,118.3,5,1,11,1.1,3.7,31.7
80-89,20,7,22,10,40.7,124.1,2,1,4,1,5.8,22.6
90+,2,2,6,4.6,27.1,91,0,0,3,0,0,45.5
