period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,335,2228,1.58,10.51
3_Month,5-11,1361,24838,0.49,9.02
6_Month,5-11,1825,39625,0.4,8.59
1_Year,5-11,1825,41069,0.31,7.06
All,5-11,1825,41242,0.27,6.03
1_Month,12-15,381,598,3.8,5.96
3_Month,12-15,3884,6980,3.22,5.79
6_Month,12-15,6793,14629,3.1,6.67
1_Year,12-15,6883,15624,2.66,6.04
All,12-15,6883,15807,2.11,4.84
1_Month,16-19,585,250,6.53,2.79
3_Month,16-19,5555,2954,5.72,3.04
6_Month,16-19,10926,8681,6.15,4.89
1_Year,16-19,11162,9590,5.44,4.67
All,16-19,11171,9864,3.88,3.43
1_Month,20-29,1980,590,6.56,1.95
3_Month,20-29,14019,5864,6.73,2.82
6_Month,20-29,25722,15894,6.96,4.3
1_Year,20-29,26278,17824,6.03,4.09
All,20-29,26302,18262,4.45,3.09
1_Month,30-39,2162,695,5.82,1.87
3_Month,30-39,13924,6374,5.64,2.58
6_Month,30-39,23168,14026,5.81,3.52
1_Year,30-39,23624,15416,5.06,3.3
All,30-39,23663,15718,4.06,2.7
1_Month,40-49,1812,534,5.18,1.53
3_Month,40-49,11738,4601,5.14,2.02
6_Month,40-49,20219,10339,5.52,2.82
1_Year,40-49,20586,11169,4.92,2.67
All,40-49,20625,11388,3.99,2.2
1_Month,50-59,1263,318,4.35,1.1
3_Month,50-59,7441,2504,4.75,1.6
6_Month,50-59,12426,5534,5.1,2.27
1_Year,50-59,12629,5870,4.63,2.15
All,50-59,12667,6026,3.68,1.75
1_Month,60-69,811,157,3.15,0.61
3_Month,60-69,4027,1300,3.71,1.2
6_Month,60-69,6945,2899,4.15,1.73
1_Year,60-69,7066,3012,3.81,1.62
All,60-69,7090,3089,3.06,1.33
1_Month,70-79,365,51,2.08,0.29
3_Month,70-79,1558,393,2.57,0.65
6_Month,70-79,2754,804,3.02,0.88
1_Year,70-79,2822,841,2.8,0.83
All,70-79,2840,887,2.29,0.71
1_Month,80-89,151,27,2.3,0.41
3_Month,80-89,659,188,2.77,0.79
6_Month,80-89,1194,353,3.42,1.01
1_Year,80-89,1232,364,3.11,0.92
All,80-89,1246,395,2.4,0.76
1_Month,90+,53,6,3.4,0.38
3_Month,90+,225,52,3.74,0.86
6_Month,90+,421,88,4.71,0.98
1_Year,90+,438,91,4.29,0.89
All,90+,446,103,3.13,0.72
