instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-10-19T00:00:00.000Z
Rabin K. Hasharon             ,66.7,68,2022-10-19T00:00:00.000Z
Hacarmel Hospital             ,81.1,83.6,2022-10-19T00:00:00.000Z
      Ziv Hospital            ,81.3,73.5,2022-10-19T00:00:00.000Z
Hadassah Mount Scopus         ,83.3,80.6,2022-10-19T00:00:00.000Z
Poriah Hospital               ,84.6,80.6,2022-10-19T00:00:00.000Z
Assaf Harofeh Medical Center  ,84.6,70.8,2022-10-19T00:00:00.000Z
Soroka Medical Center         ,86,89.2,2022-10-19T00:00:00.000Z
Woolfson Medical Center       ,92.2,77.2,2022-10-19T00:00:00.000Z
Tel Aviv Medical Center       ,93,114.9,2022-10-19T00:00:00.000Z
,,,2022-10-19T00:00:00.000Z
Bnei Ziom Medical Center      ,86.8,89.6,2022-10-19T00:00:00.000Z
Yosephtal Hospital            ,93.8,55.4,2022-10-19T00:00:00.000Z
Kaplan Hospital               ,95.3,84.6,2022-10-19T00:00:00.000Z
Rambam                        ,98.5,90.6,2022-10-19T00:00:00.000Z
Barzilai Medical Center       ,99,80.1,2022-10-19T00:00:00.000Z
Shmuel Harofe                 ,102.8,84.2,2022-10-19T00:00:00.000Z
Nahariya                      ,111.1,91.1,2022-10-19T00:00:00.000Z
Assuta Ashdod                 ,125.4,100.3,2022-10-19T00:00:00.000Z
,,,2022-10-19T00:00:00.000Z
Hillel Yaffeh Medical Center  ,100.7,74.6,2022-10-19T00:00:00.000Z
Laniado                       ,100,118.7,2022-10-19T00:00:00.000Z
Haemek Valley Center Hospital ,108.4,76.4,2022-10-19T00:00:00.000Z
Hadassah Ein Kerem            ,126.2,94.8,2022-10-19T00:00:00.000Z
The Holy Family               ,,,2022-10-19T00:00:00.000Z
,,,2022-10-19T00:00:00.000Z
,,39.2,2022-10-19T00:00:00.000Z
Meir Hospital                 ,109.5,96.9,2022-10-19T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-10-19T00:00:00.000Z
,,,2022-10-19T00:00:00.000Z
Rabin K. Beilinson            ,125.1,95,2022-10-19T00:00:00.000Z
Chaim Sheba Medical Center    ,,,2022-10-19T00:00:00.000Z
Shaare Zedek                  ,,,2022-10-19T00:00:00.000Z
