period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,72,147,13.9,28.38
3_Month,5-11,729,2131,11.58,33.84
6_Month,5-11,3217,11705,7.98,29.03
1_Year,5-11,4959,51239,0.99,10.2
All,5-11,4959,52903,0.69,7.31
1_Month,12-15,98,78,19.64,15.63
3_Month,12-15,592,587,17.25,17.1
6_Month,12-15,2253,2905,11.01,14.19
1_Year,12-15,8923,17556,3.73,7.33
All,12-15,8978,18846,2.59,5.44
1_Month,16-19,176,37,29.19,6.14
3_Month,16-19,1080,286,25.43,6.73
6_Month,16-19,3915,1279,18.67,6.1
1_Year,16-19,14755,9985,7.44,5.03
All,16-19,14962,11224,4.85,3.64
1_Month,20-29,486,75,26.91,4.15
3_Month,20-29,3512,756,24.33,5.24
6_Month,20-29,11903,3202,18.21,4.9
1_Year,20-29,37356,19190,8.61,4.42
All,20-29,37830,21701,5.78,3.32
1_Month,30-39,553,102,24.09,4.44
3_Month,30-39,4076,966,22.89,5.42
6_Month,30-39,13610,4064,16.55,4.94
1_Year,30-39,36494,18205,7.61,3.79
All,30-39,36916,19987,5.57,3.02
1_Month,40-49,633,100,24.68,3.9
3_Month,40-49,3901,790,21.55,4.36
6_Month,40-49,12944,3141,15.49,3.76
1_Year,40-49,32910,13573,7.34,3.03
All,40-49,33282,14708,5.56,2.46
1_Month,50-59,554,71,18.98,2.43
3_Month,50-59,3052,483,16.69,2.64
6_Month,50-59,9301,1861,11.74,2.35
1_Year,50-59,21559,7447,6.71,2.32
All,50-59,21789,7987,5.17,1.89
1_Month,60-69,565,38,14.47,0.97
3_Month,60-69,2553,299,11.76,1.38
6_Month,60-69,7195,1049,8.29,1.21
1_Year,60-69,14026,3971,5.55,1.57
All,60-69,14185,4192,4.48,1.32
1_Month,70-79,462,27,9.91,0.58
3_Month,70-79,1839,142,8.45,0.65
6_Month,70-79,4655,458,5.93,0.58
1_Year,70-79,7351,1277,4.36,0.76
All,70-79,7440,1369,3.69,0.68
1_Month,80+,272,26,10.44,1
3_Month,80+,1400,142,10.54,1.07
6_Month,80+,3125,329,7.45,0.78
1_Year,80+,4707,773,5.53,0.91
All,80+,4786,840,4.46,0.78
