age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,10,21,41,189.3,9.4,4.3,0,0,0,0,0,0
12-15,6,50,15,109.8,15.4,5.4,0,0,0,0,0,0
16-19,9,166,20,255.2,37.8,14.7,0,0,0,0,0,0
20-29,16,432,39,160.8,38.6,23.3,0,0,1,0,0,0.6
30-39,16,350,42,150.9,33.1,33.8,0,0,0,0,0,0
40-49,21,432,51,156.8,43.6,53.5,0,2,0,0,0.2,0
50-59,22,515,38,124.3,64.7,72.7,0,4,3,0,0.5,5.7
60-69,68,954,53,263.6,144.7,96.1,0,9,3,0,1.4,5.4
70-79,104,1162,62,364.5,242.4,577.8,2,17,5,7,3.5,46.6
80+,63,860,73,436.4,345.2,499.5,2,20,8,13.9,8,54.7
