age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,269624,118775,46,21.8,9.6,0,11.4,88.6,0
12-15,408096,329827,58102,64.2,51.9,9.1,59.38,40.38,0.24
16-19,525109,457249,249403,88.8,77.3,42.2,67.59,20.22,12.18
20-29,1124305,1005449,697305,85.2,76.2,52.9,69.67,14.78,15.55
30-39,1070188,981580,700255,88.6,81.3,58,72.76,11.84,15.4
40-49,1002660,933146,727139,90.3,84,65.5,78.24,9.92,11.84
50-59,794866,750183,626954,90.9,85.8,71.7,82.18,8.27,9.55
60-69,691893,667279,590875,92.6,89.3,79.1,86.38,7.38,6.24
70-79,478062,468786,446519,90.7,89,84.7,89.41,5.79,4.8
80-89,216334,211359,195451,90.6,88.5,81.9,86.92,6.17,6.92
90+,49308,47573,43063,84,81.1,73.4,79.37,7.78,12.85
