instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2023-01-02T00:00:00.000Z
Tel Aviv Medical Center       ,,,2023-01-02T00:00:00.000Z
,,,2023-01-02T00:00:00.000Z
Yosephtal Hospital            ,43.8,64.6,2023-01-02T00:00:00.000Z
Rabin K. Hasharon             ,57,57.7,2023-01-02T00:00:00.000Z
Hacarmel Hospital             ,60.4,80.6,2023-01-02T00:00:00.000Z
Hadassah Mount Scopus         ,69.4,78.5,2023-01-02T00:00:00.000Z
Poriah Hospital               ,78.2,66.8,2023-01-02T00:00:00.000Z
Woolfson Medical Center       ,79.9,82.4,2023-01-02T00:00:00.000Z
Soroka Medical Center         ,80.6,83.9,2023-01-02T00:00:00.000Z
      Ziv Hospital            ,81.3,72.3,2023-01-02T00:00:00.000Z
Bnei Ziom Medical Center      ,87.6,87.5,2023-01-02T00:00:00.000Z
Laniado                       ,87.2,101.4,2023-01-02T00:00:00.000Z
Assaf Harofeh Medical Center  ,88.8,77.9,2023-01-02T00:00:00.000Z
Meir Hospital                 ,90.5,89.5,2023-01-02T00:00:00.000Z
Barzilai Medical Center       ,92.2,82.1,2023-01-02T00:00:00.000Z
Hillel Yaffeh Medical Center  ,96.6,88.3,2023-01-02T00:00:00.000Z
Haemek Valley Center Hospital ,115.5,76.4,2023-01-02T00:00:00.000Z
Hadassah Ein Kerem            ,119.4,94.4,2023-01-02T00:00:00.000Z
Assuta Ashdod                 ,125.4,110.9,2023-01-02T00:00:00.000Z
,,,2023-01-02T00:00:00.000Z
The Holy Family               ,,,2023-01-02T00:00:00.000Z
,,,2023-01-02T00:00:00.000Z
,,41.2,2023-01-02T00:00:00.000Z
Mayanei Hayeshua              ,,,2023-01-02T00:00:00.000Z
Nahariya                      ,103.7,86.3,2023-01-02T00:00:00.000Z
,,,2023-01-02T00:00:00.000Z
Rambam                        ,97,94.3,2023-01-02T00:00:00.000Z
Shaare Zedek                  ,105.3,105.2,2023-01-02T00:00:00.000Z
Kaplan Hospital               ,107.3,85.7,2023-01-02T00:00:00.000Z
Shmuel Harofe                 ,111.1,85.3,2023-01-02T00:00:00.000Z
Chaim Sheba Medical Center    ,126.8,113.1,2023-01-02T00:00:00.000Z
Rabin K. Beilinson            ,127.8,95.5,2023-01-02T00:00:00.000Z
