age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.28,81.32,18.41
12-15,65.7,54.7,15,0,0.72,47.46,51.82
16-19,89.3,78.3,46,0.2,0.61,24.4,75
20-29,85.7,77.2,54.8,0.9,0.85,12.57,86.58
30-39,89,82.1,59.8,2.1,1.41,10.24,88.34
40-49,90.6,84.8,67.1,3.6,2.15,8.4,89.45
50-59,91.3,86.6,73.4,7.4,4.23,5.47,90.29
60-69,93.2,90.4,80.9,34.2,11.53,7.29,81.18
70-79,92.1,90.7,87.4,54.8,25.18,0.48,74.35
80+,95.3,93.3,87.6,58.2,27.23,4.45,68.31
