period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,151,285,19.76,37.3
3_Month,5-11,399,803,18.14,36.52
6_Month,5-11,2223,6778,11.05,33.68
1_Year,5-11,5317,51497,1.1,10.64
All,5-11,5328,53650,0.73,7.4
1_Month,12-15,293,143,37.52,18.31
3_Month,12-15,711,344,33.6,16.26
6_Month,12-15,1856,1690,19.41,17.68
1_Year,12-15,9490,17629,4.04,7.51
All,12-15,9652,19169,2.77,5.5
1_Month,16-19,929,113,47.99,5.84
3_Month,16-19,1889,241,45.13,5.76
6_Month,16-19,4166,914,30.13,6.61
1_Year,16-19,16419,10051,8.26,5.05
All,16-19,16749,11449,5.36,3.67
1_Month,20-29,2248,210,47.55,4.44
3_Month,20-29,4692,450,43.97,4.22
6_Month,20-29,11897,2246,27.77,5.24
1_Year,20-29,41446,19304,9.51,4.43
All,20-29,42226,22109,6.36,3.33
1_Month,30-39,2241,273,44.11,5.37
3_Month,30-39,4585,577,39.33,4.95
6_Month,30-39,13080,2897,25.26,5.59
1_Year,30-39,40517,18461,8.41,3.83
All,30-39,41197,20502,6.12,3.05
1_Month,40-49,2641,212,47.67,3.83
3_Month,40-49,5504,469,42.19,3.6
6_Month,40-49,13265,2299,25.18,4.36
1_Year,40-49,37843,13822,8.36,3.05
All,40-49,38443,15126,6.3,2.48
1_Month,50-59,2160,190,38.42,3.38
3_Month,50-59,4566,439,33.51,3.22
6_Month,50-59,10284,1518,19.8,2.92
1_Year,50-59,25675,7777,7.8,2.36
All,50-59,26031,8386,6,1.93
1_Month,60-69,1838,115,30.2,1.89
3_Month,60-69,3841,252,24.87,1.63
6_Month,60-69,8325,902,14.24,1.54
1_Year,60-69,17443,4172,6.62,1.58
All,60-69,17689,4425,5.36,1.34
1_Month,70-79,1195,63,20.27,1.07
3_Month,70-79,2609,138,16.83,0.89
6_Month,70-79,5591,433,10.11,0.78
1_Year,70-79,9676,1394,5.37,0.77
All,70-79,9799,1493,4.57,0.7
1_Month,80+,821,72,18.67,1.64
3_Month,80+,1756,153,16.65,1.45
6_Month,80+,3903,378,11.43,1.11
1_Year,80+,6285,910,6.71,0.97
All,80+,6375,980,5.48,0.84
