period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
All,5-11,1295,37292,0.2,5.8
1_Month,5-11,579,11684,0.45,9.13
3_Month,5-11,1295,35592,0.31,8.64
6_Month,5-11,1295,36499,0.26,7.45
1_Year,5-11,1295,37202,0.23,6.73
3_Month,12-15,6104,13531,3.09,6.85
1_Month,12-15,1738,3050,3.26,5.72
All,12-15,6201,14748,2.02,4.81
1_Year,12-15,6201,14621,2.53,5.97
6_Month,12-15,6156,14008,2.81,6.39
6_Month,16-19,9947,8678,5.76,5.02
3_Month,16-19,9862,8204,6.22,5.18
1_Month,16-19,2237,1058,5.72,2.71
All,16-19,10112,9412,3.75,3.49
1_Year,16-19,10103,9165,5.31,4.82
All,20-29,22759,17290,4.26,3.23
1_Month,20-29,5024,2029,6.84,2.76
3_Month,20-29,22160,14865,7.11,4.77
6_Month,20-29,22438,15973,6.52,4.64
1_Year,20-29,22747,16923,5.86,4.36
All,30-39,20180,14621,3.89,2.82
1_Year,30-39,20173,14388,4.92,3.51
6_Month,30-39,19919,13732,5.42,3.74
1_Month,30-39,5329,2331,5.54,2.42
3_Month,30-39,19667,12877,5.91,3.87
1_Month,40-49,4457,1643,5.01,1.85
6_Month,40-49,17487,10012,5.34,3.06
3_Month,40-49,17294,9489,5.7,3.13
1_Year,40-49,17709,10393,4.88,2.86
All,40-49,17722,10569,3.89,2.32
All,50-59,10694,5512,3.61,1.86
3_Month,50-59,10443,5007,5.36,2.57
1_Month,50-59,2775,863,4.87,1.52
6_Month,50-59,10544,5227,5.12,2.54
1_Year,50-59,10683,5376,4.69,2.36
6_Month,60-69,5738,2692,4.29,2.01
3_Month,60-69,5689,2626,4.46,2.06
All,60-69,5839,2822,3.03,1.47
1_Month,60-69,1420,456,3.85,1.24
1_Year,60-69,5831,2760,3.93,1.86
1_Month,70-79,524,164,2.71,0.85
6_Month,70-79,2268,754,3.33,1.11
1_Year,70-79,2319,782,3.04,1.03
All,70-79,2326,818,2.37,0.83
3_Month,70-79,2236,734,3.44,1.13
1_Year,80-89,1023,329,3.32,1.07
6_Month,80-89,993,321,3.69,1.19
All,80-89,1033,357,2.43,0.84
3_Month,80-89,981,312,3.86,1.23
1_Month,80-89,227,81,2.87,1.03
1_Month,90+,69,19,3.41,0.94
3_Month,90+,346,79,5.13,1.17
1_Year,90+,369,83,4.49,1.01
All,90+,372,94,3.07,0.78
6_Month,90+,351,79,4.9,1.1
