age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2764,2,5019,944.1,,549.7,0,0,2,0,,0.2
12-15,2122,461,1093,635.8,1138.2,446.1,2,0,1,0.6,0,0.4
16-19,2965,429,682,735,719,590.8,2,0,1,0.5,0,0.9
20-29,5884,732,1283,612.8,476.9,707.8,0,0,2,0,0,1.1
30-39,7679,979,1607,835.3,735.6,1198,5,1,8,0.5,0.8,6
40-49,7251,647,1244,810.1,664.8,1201.9,11,6,11,1.2,6.2,10.6
50-59,5206,430,858,710.1,649.4,1292.5,26,8,26,3.5,12.1,39.2
60-69,5286,360,850,811.3,942.5,1602.7,61,11,36,9.4,28.8,67.9
70-79,3405,202,585,711.6,925.5,2455,69,14,58,14.4,64.1,243.4
80-89,1964,147,440,935.2,1010.6,3718.7,68,14,59,32.4,96.2,498.6
90+,691,38,168,1452.6,549.9,6138.1,24,5,14,50.5,72.4,511.5
