period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,117,222,20.6,39.08
3_Month,5-11,435,846,19.22,37.38
6_Month,5-11,1349,3595,12.97,34.56
1_Year,5-11,5201,46927,1.21,10.94
All,5-11,5383,53741,0.74,7.41
1_Month,12-15,177,89,34.98,17.59
3_Month,12-15,771,366,34.92,16.58
6_Month,12-15,1451,1078,22.92,17.03
1_Year,12-15,8451,14386,4.24,7.22
All,12-15,9734,19204,2.79,5.51
1_Month,16-19,774,78,51.57,5.2
3_Month,16-19,2137,259,46.89,5.68
6_Month,16-19,3471,642,34.85,6.45
1_Year,16-19,14152,7042,8.49,4.22
All,16-19,17058,11482,5.45,3.67
1_Month,20-29,1857,160,49.61,4.27
3_Month,20-29,5248,474,45.88,4.14
6_Month,20-29,9609,1426,32.44,4.81
1_Year,20-29,37047,14657,9.97,3.95
All,20-29,42981,22165,6.46,3.33
1_Month,30-39,1742,209,45.91,5.51
3_Month,30-39,5026,610,41.57,5.05
6_Month,30-39,10022,1864,29.19,5.43
1_Year,30-39,37710,15436,8.77,3.59
All,30-39,41846,20584,6.2,3.05
1_Month,40-49,1981,165,47.93,3.99
3_Month,40-49,6073,497,44.69,3.66
6_Month,40-49,10786,1486,29.97,4.13
1_Year,40-49,35317,11399,8.72,2.81
All,40-49,39245,15188,6.42,2.48
1_Month,50-59,1680,141,40.08,3.36
3_Month,50-59,4996,443,35.67,3.16
6_Month,50-59,8618,1050,23.78,2.9
1_Year,50-59,24364,6461,8.13,2.16
All,50-59,26692,8422,6.13,1.94
1_Month,60-69,1332,96,29.59,2.13
3_Month,60-69,4048,272,26.42,1.77
6_Month,60-69,7001,641,16.88,1.55
1_Year,60-69,16624,3479,6.88,1.44
All,60-69,18131,4462,5.47,1.35
1_Month,70-79,961,59,21.92,1.35
3_Month,70-79,2758,143,18.36,0.95
6_Month,70-79,4873,317,11.99,0.78
1_Year,70-79,9495,1215,5.62,0.72
All,70-79,10140,1510,4.7,0.7
1_Month,80+,695,61,19.56,1.72
3_Month,80+,1903,169,17.77,1.58
6_Month,80+,3455,331,13.17,1.26
1_Year,80+,6274,853,6.99,0.95
All,80+,6642,1003,5.64,0.85
