age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.4,81.1,18.6
12-15,65.7,54.7,15.1,0.2,0.8,46.9,52.2
16-19,89.3,78.3,46.1,0.4,0.6,24.1,75.3
20-29,85.7,77.2,54.9,1.1,0.8,12.7,86.5
30-39,89.1,82.1,59.8,2.6,1.2,10.3,88.5
40-49,90.7,84.8,67.2,4.3,1.9,8.5,89.7
50-59,91.3,86.7,73.4,8.8,3.6,5.7,90.7
60-69,93.2,90.4,81,35.6,9.3,7.3,83.3
70-79,92.1,90.7,87.6,56.6,20.2,1,78.8
80+,95.4,93.4,87.9,60.5,22.3,4.7,72.9
