age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,356665,286102,635971,56.1,45,464,0.1
16-19,509858,440803,591331,86.2,74.5,182014,30.8
20-29,1095374,979108,1319364,83,74.2,597383,45.3
30-39,1050169,962718,1207243,87,79.7,616009,51
40-49,988887,918742,1110965,89,82.7,669251,60.2
50-59,786702,740401,874608,89.9,84.7,590974,67.6
60-69,687102,660335,747217,92,88.4,568703,76.1
70-79,475581,464798,526929,90.3,88.2,432974,82.2
80-89,215243,209564,238729,90.2,87.8,189297,79.3
90+,48947,47133,58687,83.4,80.3,41238,70.3
