age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,9,27,72,161.2,12,7.6,0,0,0,0,0,0
12-15,8,40,22,140.4,12.3,7.9,0,0,0,0,0,0
16-19,9,158,24,246.6,36,17.7,0,0,0,0,0,0
20-29,14,345,40,132.7,30.8,23.8,0,0,1,0,0,0.6
30-39,16,319,59,150.9,30.2,47.5,0,0,0,0,0,0
40-49,18,382,55,138.8,38.6,57.4,0,1,0,0,0.1,0
50-59,20,433,38,120.2,54.4,71.6,1,3,3,6,0.4,5.7
60-69,60,1012,60,277.6,152.6,108.3,0,9,2,0,1.4,3.6
70-79,103,1243,66,543.9,255,546.9,2,16,3,10.6,3.3,24.9
80+,41,896,64,448.9,352.8,423.9,2,22,5,21.9,8.7,33.1
