instituteDesc,occupancy,gOccupancy,occupancyDate
      Ziv Hospital            ,67.2,59.9,2022-10-06T00:00:00.000Z
Poriah Hospital               ,67.9,64.8,2022-10-06T00:00:00.000Z
Rabin K. Hasharon             ,73.7,57.3,2022-10-06T00:00:00.000Z
Hacarmel Hospital             ,74.5,75.5,2022-10-06T00:00:00.000Z
Soroka Medical Center         ,74.4,81.2,2022-10-06T00:00:00.000Z
Woolfson Medical Center       ,81.1,72.2,2022-10-06T00:00:00.000Z
Assaf Harofeh Medical Center  ,81.5,65.7,2022-10-06T00:00:00.000Z
Hillel Yaffeh Medical Center  ,82.9,69.9,2022-10-06T00:00:00.000Z
Tel Aviv Medical Center       ,84.3,108.3,2022-10-06T00:00:00.000Z
Rambam                        ,84.3,82.4,2022-10-06T00:00:00.000Z
Haemek Valley Center Hospital ,87.7,72.8,2022-10-06T00:00:00.000Z
Meir Hospital                 ,87.5,83.4,2022-10-06T00:00:00.000Z
Bnei Ziom Medical Center      ,88.4,75.5,2022-10-06T00:00:00.000Z
Barzilai Medical Center       ,89.1,73.8,2022-10-06T00:00:00.000Z
Chaim Sheba Medical Center    ,94.6,98.1,2022-10-06T00:00:00.000Z
Hadassah Mount Scopus         ,97.2,77.4,2022-10-06T00:00:00.000Z
Shmuel Harofe                 ,100,81.5,2022-10-06T00:00:00.000Z
Yosephtal Hospital            ,106.3,75.4,2022-10-06T00:00:00.000Z
Rabin K. Beilinson            ,122.5,97.6,2022-10-06T00:00:00.000Z
Hadassah Ein Kerem            ,127.2,90.6,2022-10-06T00:00:00.000Z
,,39.6,2022-10-06T00:00:00.000Z
Kaplan Hospital               ,107.3,92.9,2022-10-06T00:00:00.000Z
Nahariya                      ,117.4,90.8,2022-10-06T00:00:00.000Z
