age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,349561,274818,635971,55,43.2,413,0.1
16-19,504340,435838,591331,85.3,73.7,162651,27.5
20-29,1084438,973241,1319364,82.2,73.8,539254,40.9
30-39,1043065,958425,1207243,86.4,79.4,573657,47.5
40-49,984069,915601,1110965,88.6,82.4,640640,57.7
50-59,783783,738316,874608,89.6,84.4,574171,65.6
60-69,685495,658823,747217,91.7,88.2,559870,74.9
70-79,474709,463712,526929,90.1,88,428230,81.3
80-89,214877,209139,238729,90,87.6,186841,78.3
90+,48865,47051,58687,83.3,80.2,40414,68.9
