period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,226,543,14.28,34.3
3_Month,5-11,2151,7328,9.75,33.21
6_Month,5-11,3418,13645,5.79,23.1
1_Year,5-11,4917,51370,0.94,9.87
All,5-11,4917,52809,0.68,7.3
1_Month,12-15,246,214,20.15,17.53
3_Month,12-15,1357,1660,14.54,17.79
6_Month,12-15,2468,3429,8.49,11.79
1_Year,12-15,8879,17641,3.64,7.23
All,12-15,8923,18808,2.58,5.43
1_Month,16-19,224,64,25.23,7.21
3_Month,16-19,2731,840,22.46,6.91
6_Month,16-19,4234,1522,14.91,5.36
1_Year,16-19,14631,10074,7.27,5.01
All,16-19,14822,11196,4.81,3.64
1_Month,20-29,630,123,25.48,4.97
3_Month,20-29,8487,2196,21.81,5.64
6_Month,20-29,13043,3849,14.42,4.25
1_Year,20-29,37008,19411,8.42,4.42
All,20-29,37430,21643,5.73,3.31
1_Month,30-39,808,158,24.61,4.81
3_Month,30-39,9796,2779,20.28,5.75
6_Month,30-39,14920,4774,13.13,4.2
1_Year,30-39,36113,18363,7.44,3.78
All,30-39,36489,19904,5.52,3.01
1_Month,40-49,894,163,24.12,4.4
3_Month,40-49,9121,2154,19.04,4.5
6_Month,40-49,13932,3670,12.35,3.25
1_Year,40-49,32456,13640,7.19,3.02
All,40-49,32795,14630,5.5,2.45
1_Month,50-59,644,100,16.95,2.63
3_Month,50-59,6523,1291,14.25,2.82
6_Month,50-59,9895,2172,9.63,2.11
1_Year,50-59,21143,7462,6.58,2.32
All,50-59,21354,7936,5.09,1.89
1_Month,60-69,546,61,12.02,1.34
3_Month,60-69,5028,759,9.93,1.5
6_Month,60-69,7419,1208,6.96,1.13
1_Year,60-69,13578,3964,5.41,1.58
All,60-69,13729,4166,4.37,1.33
1_Month,70-79,433,29,8.93,0.6
3_Month,70-79,3236,334,7.04,0.73
6_Month,70-79,4587,497,5.07,0.55
1_Year,70-79,6988,1260,4.22,0.76
All,70-79,7070,1348,3.57,0.68
1_Month,80+,273,22,10.83,0.87
3_Month,80+,2347,231,8.8,0.87
6_Month,80+,3063,342,6.52,0.73
1_Year,80+,4479,757,5.36,0.91
All,80+,4556,819,4.33,0.78
