age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,105770,291,30,8.5,0,0,0.05,99.95,0
12-15,383594,306353,4139,60.3,48.2,0.7,58.54,41.45,0.02
16-19,519453,451971,213177,87.8,76.4,36.1,64.75,20.82,14.43
20-29,1114333,995585,664585,84.5,75.5,50.4,67.05,15.58,17.37
30-39,1062925,974182,671259,88,80.7,55.6,70.42,12.49,17.09
40-49,997538,927164,704979,89.8,83.5,63.5,76.47,10.43,13.09
50-59,791926,746058,612489,90.5,85.3,70,80.77,8.8,10.43
60-69,690125,663967,580520,92.4,88.9,77.7,85.71,7.59,6.71
70-79,477145,466764,439661,90.6,88.6,83.4,88.45,6.42,5.13
80-89,215903,210547,192386,90.4,88.2,80.6,85.41,7.35,7.23
90+,49149,47363,42184,83.7,80.7,71.9,75.94,11.18,12.88
