age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,352886,279570,635971,55.5,44,443,0.1
16-19,506944,438090,591331,85.7,74.1,171894,29.1
20-29,1089477,975948,1319364,82.6,74,566782,43
30-39,1046403,960514,1207243,86.7,79.6,593737,49.2
40-49,986390,917117,1110965,88.8,82.6,654285,58.9
50-59,785232,739370,874608,89.8,84.5,582283,66.6
60-69,686247,659559,747217,91.8,88.3,564095,75.5
70-79,475090,464216,526929,90.2,88.1,430402,81.7
80-89,215034,209341,238729,90.1,87.7,187940,78.7
90+,48899,47081,58687,83.3,80.2,40763,69.5
