priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
year,אוזבקיסטן,כתום,2,2692,104,3.86,
year,פרו,כתום,2,852,18,2.11,
year,סלובקיה,כתום,2,1512,4,0.26,
year,תאילנד,כתום,2,7028,17,0.24,
year,ארצות הברית,כתום,2,294942,1810,0.61,
year,איטליה,צהוב,3,59277,147,0.25,
year,קמבודיה,כתום,2,16,0,0,
year,קולומביה,כתום,2,875,7,0.8,
year,הונגריה,כתום,2,38840,216,0.56,
year,מקאו,כתום,2,18,0,0,
year,תורכיה,כתום,2,100591,1424,1.42,
year,אפגניסטן,כתום,2,7,0,0,
year,ליבריה,כתום,2,24,0,0,
year,פינלנד,כתום,2,2560,8,0.31,
year,מרוקו,כתום,2,2673,60,2.24,
year,רוסיה,כתום,2,28733,352,1.23,
year,קרואטיה,כתום,2,2533,40,1.58,
year,אוסטריה,צהוב,3,61068,234,0.38,
year,עירק,כתום,2,105,1,0.95,
year,סרביה,כתום,2,5056,43,0.85,
year,לוב,כתום,2,4,0,0,
year,קונגו,כתום,2,34,2,5.88,
year,זימבאבווה,כתום,2,94,0,0,
year,ארגנטינה,כתום,2,1237,6,0.49,
year,קירג'זסטאן,כתום,2,531,33,6.21,
year,קמרון,כתום,2,96,4,4.17,
year,מאוריציוס,כתום,2,47,0,0,
year,בנגלדש,כתום,2,3,0,0,
year,פרגוואי,כתום,2,157,1,0.64,
year,אנגולה,כתום,2,219,1,0.46,
year,איי נורפולק,כתום,2,2,0,0,
year,טיוואן,צהוב,3,183,0,0,
year,פלאו,כתום,2,1,0,0,
year,גבון,כתום,2,29,0,0,
year,נמיביה,כתום,2,117,0,0,
year,מצרים,כתום,2,121535,615,0.51,
year,פולין,כתום,2,22334,98,0.44,
year,גווטאמלה,כתום,2,312,12,3.85,
year,בילורוסיה,כתום,2,8770,83,0.95,
year,יוון,כתום,2,204340,1068,0.52,
year,ברזיל,כתום,2,960,7,0.73,
year,אנדורה,כתום,2,19,0,0,
year,אינדונזיה,כתום,2,51,0,0,
year,נורבגיה,כתום,2,567,3,0.53,
year,סנגל,כתום,2,75,0,0,
year,מקדוניה,כתום,2,166,2,1.2,
year,ניגר,כתום,2,12,0,0,
year,סלובניה,כתום,2,1560,7,0.45,
year,קזחסטאן,כתום,2,802,27,3.37,
year,בוטסואנה,כתום,2,129,0,0,
year,צכיה,צהוב,3,34706,199,0.57,
year,פאפואה,כתום,2,13,0,0,
year,איי סיישל,כתום,2,5535,10,0.18,
year,גואם,כתום,2,1,0,0,
year,סינגפור,כתום,2,477,2,0.42,
year,קוסובו,צהוב,3,68,0,0,
year,אריתראה,כתום,2,4,0,0,
year,אלבניה,כתום,2,1672,7,0.42,
year,אירלנד,כתום,2,1152,0,0,
year,איי קוק,כתום,2,3,0,0,
year,כווית,כתום,2,7,0,0,
