age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.14,75.86,0
12-15,65.5,54.4,14.3,0,49.83,39.98,10.19
16-19,89.3,78.1,45.6,0.1,68.32,20.16,11.52
20-29,85.7,77,54.5,0.6,74.16,13.86,11.98
30-39,89.1,82,59.5,1.6,77.56,11.23,11.2
40-49,90.6,84.6,66.7,2.7,81.74,9.38,8.88
50-59,91.1,86.3,72.9,5.5,84.86,7.46,7.68
60-69,92.8,89.8,80.2,30.5,87.77,7.09,5.14
70-79,90.9,89.4,86,49.3,91.81,4.02,4.17
80-89,90.8,89.1,83.5,51.4,89.19,4.67,6.14
90+,84.4,81.8,76.1,49.5,84.19,3.68,12.14
