period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,183,998,2.32,12.65
3_Month,5-11,946,10958,0.83,9.58
6_Month,5-11,1862,40069,0.4,8.7
1_Year,5-11,1862,41520,0.32,7.1
All,5-11,1862,41722,0.27,6.08
1_Month,12-15,166,254,4.4,6.73
3_Month,12-15,1709,2907,3.31,5.63
6_Month,12-15,6807,14778,3.1,6.72
1_Year,12-15,6866,15799,2.64,6.08
All,12-15,6866,16014,2.09,4.88
1_Month,16-19,264,130,8.03,3.95
3_Month,16-19,2327,1081,5.56,2.58
6_Month,16-19,10970,8746,6.15,4.9
1_Year,16-19,11150,9722,5.41,4.71
All,16-19,11161,9999,3.86,3.46
1_Month,20-29,821,292,7.6,2.7
3_Month,20-29,6486,2345,6.36,2.3
6_Month,20-29,25877,16089,6.96,4.33
1_Year,20-29,26301,18175,5.99,4.14
All,20-29,26328,18620,4.43,3.14
1_Month,30-39,1003,301,6.3,1.89
3_Month,30-39,6695,2596,5.35,2.08
6_Month,30-39,23355,14226,5.8,3.54
1_Year,30-39,23717,15738,5.03,3.34
All,30-39,23762,16048,4.05,2.73
1_Month,40-49,824,261,5.4,1.71
3_Month,40-49,5686,1922,4.79,1.62
6_Month,40-49,20357,10525,5.5,2.85
1_Year,40-49,20653,11436,4.89,2.71
All,40-49,20696,11664,3.97,2.24
1_Month,50-59,593,142,4.49,1.08
3_Month,50-59,3721,1091,4.33,1.27
6_Month,50-59,12541,5646,5.07,2.28
1_Year,50-59,12703,6025,4.59,2.18
All,50-59,12744,6184,3.66,1.78
1_Month,60-69,455,89,3.38,0.66
3_Month,60-69,2184,562,3.31,0.85
6_Month,60-69,7057,2955,4.11,1.72
1_Year,60-69,7159,3093,3.77,1.63
All,60-69,7185,3171,3.04,1.34
1_Month,70-79,234,39,2.27,0.38
3_Month,70-79,877,194,2.11,0.47
6_Month,70-79,2822,835,2.98,0.88
1_Year,70-79,2883,878,2.76,0.84
All,70-79,2901,925,2.27,0.72
1_Month,80+,163,25,3.16,0.48
3_Month,80+,527,117,2.7,0.6
6_Month,80+,1670,454,3.67,1
1_Year,80+,1717,476,3.33,0.92
All,80+,1741,520,2.56,0.77
