age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,346,0,678,120.2,,73.5,0,0,0,0,,0
12-15,231,120,141,83.2,133.7,54.5,0,0,0,0,0,0
16-19,374,63,76,98.4,80.7,59.5,1,0,1,0.3,0,0.8
20-29,957,119,178,100.2,66.6,100.2,0,0,1,0,0,0.6
30-39,1330,156,199,145.7,96.6,155.2,1,0,2,0.1,0,1.6
40-49,1317,95,145,148.3,80.9,143.3,0,2,4,0,1.7,4
50-59,1113,69,112,152.2,90.2,176.8,6,1,7,0.8,1.3,11
60-69,2011,83,147,311,218.6,249.9,20,3,5,3.1,7.9,8.5
70-79,1717,52,138,363.3,281.3,476.9,27,2,6,5.7,10.8,20.7
80+,1161,39,124,469,292.2,679.2,28,1,10,11.3,7.5,54.8
