age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,361012,294620,635971,56.8,46.3,508,0.1
16-19,513525,445206,591331,86.8,75.3,192050,32.5
20-29,1102754,984009,1319364,83.6,74.6,622937,47.2
30-39,1054995,966393,1207243,87.4,80,635961,52.7
40-49,992150,921329,1110965,89.3,82.9,681980,61.4
50-59,788757,742090,874608,90.2,84.8,598780,68.5
60-69,688222,661407,747217,92.1,88.5,572970,76.7
70-79,476152,465378,526929,90.4,88.3,435426,82.6
80-89,215505,209885,238729,90.3,87.9,190516,79.8
90+,49029,47217,58687,83.5,80.5,41597,70.9
