age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,63,0,520,18.1,0,205.4,0,0,0,0,0,0
16-19,52,88,209,14.8,94.6,170.6,0,0,0,0,0,0
20-29,94,193,421,11.5,81.1,197,0,1,5,0,0.4,2.3
30-39,162,239,429,20.2,111.6,275.8,0,0,10,0,0,6.4
40-49,130,169,353,16,110.9,294.4,2,0,29,0.2,0,24.2
50-59,65,75,192,9.5,79,234.6,2,2,42,0.3,2.1,51.3
60-69,61,55,142,9.7,106.5,241,6,5,35,1,9.7,59.4
70-79,57,26,85,12.5,93.5,219,11,5,18,2.4,18,46.4
80-89,42,11,46,21.1,63.5,239.7,5,2,10,2.5,11.5,52.1
90+,6,5,11,14.1,69,149.8,1,1,5,2.4,13.8,68.1
