age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,11,0,2373,44.5,0,226,0,0,0,0,0,0
12-15,583,0,506,163.5,0,202.5,0,0,0,0,0,0
16-19,244,89,230,64.8,114.2,194.9,0,0,1,0,0,0.8
20-29,791,194,371,90.7,90.5,189.4,0,0,2,0,0,1
30-39,815,274,362,97.1,141.7,251.3,0,0,5,0,0,3.5
40-49,779,184,231,92.7,133.8,206.8,0,0,18,0,0,16.1
50-59,487,66,143,69.5,75.7,193.2,2,1,15,0.3,1.1,20.3
60-69,319,39,89,50.1,80.5,160.5,2,2,15,0.3,4.1,27.1
70-79,167,18,38,35.9,68.5,119.4,1,3,8,0.2,11.4,25.1
80-89,56,4,18,27.7,23.9,107.5,2,0,4,1,0,23.9
90+,17,3,4,38.8,41,66.1,4,0,0,9.1,0,0
