age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,176280,59829,34,14.2,4.8,0,2.58,97.42,0
12-15,393645,318220,17550,61.9,50,2.8,58.78,41.2,0.02
16-19,521315,453765,224381,88.2,76.7,37.9,65.79,20.63,13.58
20-29,1117985,999464,676773,84.7,75.8,51.3,68.05,15.26,16.69
30-39,1065599,977104,682378,88.3,80.9,56.5,71.34,12.23,16.43
40-49,999376,929379,712808,90,83.7,64.2,77.15,10.25,12.61
50-59,793038,747544,617127,90.7,85.5,70.6,81.31,8.57,10.11
60-69,690774,664985,583159,92.4,89,78,85.98,7.48,6.54
70-79,477493,467357,441216,90.6,88.7,83.7,88.92,6.06,5.02
80-89,216051,210774,193011,90.5,88.3,80.8,85.83,7.07,7.11
90+,49196,47414,42349,83.8,80.8,72.2,76.65,10.54,12.81
