age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,247456,176589,618088,40,28.6,8,0
16-19,459772,401505,583545,78.8,68.8,82,0
20-29,1036859,944471,1300361,79.7,72.6,870,0.1
30-39,1005062,934759,1197026,84,78.1,10668,0.9
40-49,955003,894173,1098556,86.9,81.4,21412,1.9
50-59,766943,722943,849966,90.2,85.1,257390,30.3
60-69,677341,649284,741639,91.3,87.5,424746,57.3
70-79,470784,458375,490784,95.9,93.4,361789,73.7
80-89,213112,207100,225538,94.5,91.8,156795,69.5
90+,48433,46610,51496,94.1,90.5,33092,64.3
