age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.29,81.3,18.41
12-15,65.7,54.7,15,0,0.75,47.42,51.83
16-19,89.3,78.3,46,0.2,0.62,24.35,75.03
20-29,85.7,77.2,54.8,0.9,0.86,12.58,86.56
30-39,89,82.1,59.8,2.1,1.43,10.25,88.32
40-49,90.6,84.8,67.1,3.6,2.17,8.4,89.42
50-59,91.3,86.6,73.4,7.4,4.27,5.49,90.24
60-69,93.2,90.4,80.9,34.2,11.58,7.29,81.13
70-79,92.1,90.7,87.4,54.8,25.19,0.51,74.3
80+,95.3,93.3,87.6,58.2,27.24,4.47,68.29
