age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,127622,15680,31,10.3,1.3,0,0.07,99.92,0
12-15,386809,309924,6913,60.8,48.7,1.1,58.61,41.37,0.02
16-19,520136,452659,216484,88,76.5,36.6,65.17,20.73,14.1
20-29,1115847,997063,669333,84.6,75.6,50.7,67.44,15.46,17.1
30-39,1063951,975291,675424,88.1,80.8,55.9,70.77,12.4,16.82
40-49,998217,927968,707749,89.9,83.5,63.7,76.73,10.36,12.91
50-59,792365,746601,614186,90.6,85.4,70.2,80.98,8.72,10.3
60-69,690383,664341,581533,92.4,88.9,77.8,85.81,7.55,6.63
70-79,477290,467015,440270,90.6,88.6,83.6,88.62,6.3,5.08
80-89,215948,210628,192623,90.5,88.2,80.7,85.56,7.26,7.18
90+,49168,47387,42235,83.8,80.7,72,76.16,10.99,12.85
