age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,234588,170498,618088,38,27.6,8,0
16-19,455841,399656,583545,78.1,68.5,60,0
20-29,1034538,942999,1300361,79.6,72.5,542,0
30-39,1002840,933561,1197026,83.8,78,4312,0.4
40-49,953236,893141,1098556,86.8,81.3,9880,0.9
50-59,765441,721393,849966,90.1,84.9,146435,17.2
60-69,676440,648402,741639,91.2,87.4,380335,51.3
70-79,470279,457884,490784,95.8,93.3,336251,68.5
80-89,212858,206882,225538,94.4,91.7,144460,64.1
90+,48364,46561,51496,93.9,90.4,30272,58.8
