age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,185491,50097,382500,183,396,3313,98.7,790.5,866.1,0,0,0,0,0,0
16-19,429544,26627,127374,1787,87,1020,416,326.7,800.8,0,0,2,0,0,1.6
20-29,991827,42916,265618,5787,173,2002,583.5,403.1,753.7,0,0,4,0,0,1.5
30-39,969161,33909,193956,5989,134,1770,618,395.2,912.6,3,0,14,0.3,0,7.2
40-49,927392,26028,145136,5756,70,1210,620.7,268.9,833.7,10,0,30,1.1,0,20.7
50-59,748141,17443,84382,4295,50,765,574.1,286.6,906.6,30,0,33,4,0,39.1
60-69,665907,10648,65084,3146,20,476,472.4,187.8,731.4,66,4,58,9.9,37.6,89.1
70-79,464491,5877,20416,2008,23,259,432.3,391.4,1268.6,94,2,40,20.2,34,195.9
80-89,208994,3898,12646,1004,13,147,480.4,333.5,1162.4,107,4,38,51.2,102.6,300.5
90+,46618,1755,3123,273,7,62,585.6,398.9,1985.3,19,2,18,40.8,114,576.4
