instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,59.6,47.7,2022-10-05T00:00:00.000Z
Poriah Hospital               ,65.4,64.8,2022-10-05T00:00:00.000Z
      Ziv Hospital            ,67.2,57.9,2022-10-05T00:00:00.000Z
Soroka Medical Center         ,68.2,70.8,2022-10-05T00:00:00.000Z
Hacarmel Hospital             ,72.6,65.8,2022-10-05T00:00:00.000Z
Hillel Yaffeh Medical Center  ,72.6,64.9,2022-10-05T00:00:00.000Z
Woolfson Medical Center       ,74.2,66.6,2022-10-05T00:00:00.000Z
Bnei Ziom Medical Center      ,79.3,62.6,2022-10-05T00:00:00.000Z
Meir Hospital                 ,79.5,80.8,2022-10-05T00:00:00.000Z
Assaf Harofeh Medical Center  ,80.3,62.2,2022-10-05T00:00:00.000Z
Yosephtal Hospital            ,81.3,47.7,2022-10-05T00:00:00.000Z
Haemek Valley Center Hospital ,82.6,63.5,2022-10-05T00:00:00.000Z
Tel Aviv Medical Center       ,83.3,92.2,2022-10-05T00:00:00.000Z
Laniado                       ,84.6,84.7,2022-10-05T00:00:00.000Z
Barzilai Medical Center       ,87,71.5,2022-10-05T00:00:00.000Z
Chaim Sheba Medical Center    ,89.1,94.1,2022-10-05T00:00:00.000Z
Shmuel Harofe                 ,97.2,80.4,2022-10-05T00:00:00.000Z
Rambam                        ,100.5,79.4,2022-10-05T00:00:00.000Z
Hadassah Mount Scopus         ,105.6,72.6,2022-10-05T00:00:00.000Z
Hadassah Ein Kerem            ,120.4,84.4,2022-10-05T00:00:00.000Z
,,39.6,2022-10-05T00:00:00.000Z
Nahariya                      ,107.4,79,2022-10-05T00:00:00.000Z
Rabin K. Beilinson            ,114.5,91.7,2022-10-05T00:00:00.000Z
