age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.5,80.4,19.2
12-15,65.7,54.7,15,0,1,45.5,53.5
16-19,89.3,78.3,46,0.2,0.7,23.4,75.9
20-29,85.7,77.2,54.8,0.9,0.9,13,86.2
30-39,89,82.1,59.8,2.1,0.9,10.4,88.6
40-49,90.6,84.8,67.1,3.6,1.2,8.7,90
50-59,91.3,86.6,73.3,7.5,2,6.2,91.8
60-69,93.2,90.3,80.9,34.3,3,7.5,89.5
70-79,92.1,90.7,87.4,54.9,3.4,2.4,94.2
80+,95.3,93.3,87.6,58.3,2.9,5.5,91.7
