age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.11,75.88,0
12-15,65.5,54.4,14.4,0,48.66,40.1,11.24
16-19,89.3,78.1,45.7,0.1,67.9,20.2,11.91
20-29,85.7,77,54.5,0.7,74.15,13.84,12.02
30-39,89.1,82,59.5,1.7,77.57,11.21,11.22
40-49,90.6,84.6,66.8,2.8,81.74,9.36,8.91
50-59,91.1,86.3,73,5.8,84.88,7.41,7.71
60-69,92.8,89.8,80.3,30.9,87.79,7.06,5.15
70-79,90.9,89.4,86,49.8,91.91,3.89,4.19
80-89,90.8,89.1,83.5,51.9,89.26,4.58,6.16
90+,84.4,81.8,76.1,49.9,84.38,3.44,12.18
